step,window_id,reward_update_count,total_feedback,labeled_feedback,train_fit_acc,acc_train,acc_heldout,acc_onpolicy,acc_fixed_ref
10000,0,1,100,100,0.9708333333333333,0.9833333293596903,0.75,0.6354166666666666,0.71484375
30000,1,2,200,200,0.9708333333333333,0.968750019868215,0.7916666666666666,0.6302083333333334,0.7109375
50000,2,3,300,300,0.9708333333333333,0.9750000437100729,0.7944444815317789,0.75,0.7890625
70000,3,4,400,400,0.9718750000000002,0.9625000158945719,0.7541666825612386,0.7552083333333334,0.7747395833333334
90000,4,5,500,500,0.9741666666666666,0.9749999841054281,0.7733333110809326,0.7135416666666666,0.78125
110000,5,6,600,600,0.9715277777777778,0.9743056098620096,0.8166667222976685,0.7708333333333334,0.7994791666666666
130000,6,7,700,700,0.9720238095238095,0.9797618985176086,0.7809523741404215,0.796875,0.80078125
150000,7,8,800,800,0.9718749999999999,0.9781250158945719,0.7604166865348816,0.75,0.8046875
170000,8,9,900,900,0.9722222222222222,0.9805555740992228,0.7444444497426351,0.875,0.8177083333333334
190000,9,10,1000,1000,0.9704166666666666,0.981249988079071,0.7549999952316284,0.7552083333333334,0.80078125
