step,episode,window_id,step_in_window,proxy_return,true_return,total_feedback
0,0,-1,0,0,0,0
1000,1,-1,1000,-39.617391902174546,33.52187269518552,0
2000,2,-1,2000,-50.13146685177344,117.2049260264685,0
3000,3,-1,3000,-36.41166196249105,31.37473342624172,0
4000,4,-1,4000,-57.147644137294265,94.89417117826547,0
5000,5,-1,5000,-69.10132919399348,120.64954436972208,0
6000,6,-1,6000,-65.93145358192851,149.49434464906838,0
7000,7,-1,7000,-63.14458763020957,149.26717365192687,0
8000,8,-1,8000,-64.47101716099132,128.74651948493226,0
9000,9,-1,9000,-66.8293974400367,168.54146789740363,0
10000,10,-1,10000,-69.04314859428996,99.26354634601309,0
11000,11,0,1000,90.57751509902664,15.504473411800648,100
12000,12,0,2000,147.6180336819525,52.16835390409433,100
13000,13,0,3000,190.7256490774016,32.205198102018024,100
14000,14,0,4000,293.2856515594749,113.5700927762416,100
15000,15,0,5000,319.6033953576625,156.46966558144535,100
16000,16,0,6000,327.5113859004341,83.70716818329657,100
17000,17,0,7000,336.39550011674874,126.63798437064877,100
18000,18,0,8000,364.49074704176746,46.080279939585736,100
19000,19,0,9000,355.71074632549426,134.273814550095,100
20000,20,0,10000,362.09038695390336,183.91000487752333,100
21000,21,0,11000,367.08401327188767,75.34423859987652,100
22000,22,0,12000,366.8809491548054,114.4707416273492,100
23000,23,0,13000,378.867072643945,122.88372289559962,100
24000,24,0,14000,380.43001317966264,115.47124335859071,100
25000,25,0,15000,377.4451278843917,150.20051204113594,100
26000,26,0,16000,386.5830413316726,130.09498355665073,100
27000,27,0,17000,392.6032109352527,143.36027393794768,100
28000,28,0,18000,388.750276212726,136.10623119698255,100
29000,29,0,19000,414.5896875439794,120.41520867597863,100
30000,30,0,20000,405.0512888444064,149.6703170778498,100
31000,31,1,1000,263.3338498728517,121.90387099168493,200
32000,32,1,2000,233.23175283874298,139.23270063317344,200
33000,33,1,3000,338.4944772942108,141.0757010697623,200
34000,34,1,4000,367.000088096509,157.5463381932673,200
35000,35,1,5000,388.34586890862556,214.79730515608748,200
36000,36,1,6000,353.72878921660595,191.78742898465083,200
37000,37,1,7000,332.92593131642207,142.15686722912469,200
38000,38,1,8000,340.9364428543777,196.4913290033072,200
39000,39,1,9000,341.9723232870456,182.1799593190945,200
