step,window_id,reward_update_count,total_feedback,labeled_feedback,train_fit_acc,acc_train,acc_heldout,acc_onpolicy,acc_fixed_ref
10000,0,1,100,100,0.9791666666666666,0.9791666865348816,0.8833333651224772,0.6458333333333334,0.7916666666666666
30000,1,2,200,200,0.9708333333333333,0.9895833532015482,0.875,0.7395833333333334,0.828125
50000,2,3,300,300,0.9708333333333333,0.9777778387069702,0.9000000357627869,0.75,0.8372395833333334
70000,3,4,400,400,0.9708333333333332,0.9760416746139526,0.8166666825612386,0.71875,0.8515625
90000,4,5,500,500,0.9716666666666667,0.9683333039283752,0.8499999841054281,0.8333333333333334,0.8515625
110000,5,6,600,600,0.9743055555555555,0.9763889312744141,0.8583333690961202,0.8125,0.8411458333333334
130000,6,7,700,700,0.9791666666666666,0.9851190646489462,0.8595238129297892,0.8385416666666666,0.8606770833333334
150000,7,8,800,800,0.975,0.9807291626930237,0.868749996026357,0.7604166666666666,0.84765625
170000,8,9,900,900,0.975462962962963,0.9773148496945699,0.8518518606821696,0.8541666666666666,0.84375
190000,9,10,1000,1000,0.97375,0.98458331823349,0.8649999896685282,0.7708333333333334,0.8528645833333334
