step,episode,window_id,step_in_window,proxy_return,true_return,total_feedback
0,0,-1,0,0,0,0
1000,1,-1,1000,-39.61739190208755,33.52187269518552,0
2000,2,-1,2000,-54.109460731910076,165.75310466158857,0
3000,3,-1,3000,-59.37350271482137,148.75350928699746,0
4000,4,0,1000,40.872834825833706,31.897463479787127,50
5000,5,0,2000,51.079513117612805,35.01187854410966,50
6000,6,0,3000,23.637937591665832,29.509767397807366,50
7000,7,1,1000,133.8728252006258,32.95945486944451,100
8000,8,1,2000,127.42991864016221,32.17510649533039,100
9000,9,1,3000,157.37971868138538,34.740842459284295,100
10000,10,2,1000,80.57985815811844,47.661271933752424,150
11000,11,2,2000,127.28299978976429,44.81900977407548,150
