step,episode,window_id,step_in_window,proxy_return,true_return,total_feedback
0,0,-1,0,0,0,0
1000,1,-1,1000,-39.617391902174546,33.52187269518552,0
2000,2,-1,2000,-50.13146685177344,117.2049260264685,0
3000,3,-1,3000,-36.41166196249105,31.37473342624172,0
4000,4,0,1000,352.9070062334649,44.01790750090777,50
5000,5,0,2000,498.23158174566925,73.9300131549205,50
6000,6,0,3000,358.06034806754906,41.077062092894124,50
7000,7,1,1000,305.59971512446646,29.06540477303358,100
8000,8,1,2000,423.5590307592647,92.3181959966112,100
9000,9,1,3000,473.60706094349734,99.32725324291937,100
10000,10,2,1000,279.7157764826552,34.71250768403782,150
11000,11,2,2000,296.9363453029582,98.1263409672311,150
